=== Run started  2025-11-09T12:41:09 ===
Args: r:/pythonstuff/addsimtype/addsimtype.py
Log file: logs\addsimtype_2025-11-09_12-41-09.log
Feed index loaded: 1730 (ICAO,version) MSFS entries.
NOOP        | ZSQD | v1.1.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\samscene3d-airport-zsqd-qingdao\manifest.json
NOOP        | ZULS | v1.2.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\samscene3d-airport-zuls-lhasa-gonggar\manifest.json
WILL_UPDATE | ZYHB | v1.0.5 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\samscene3d-airport-zyhb-harbin\manifest.json
WILL_UPDATE | CITY | v2.0.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\samscene3d-sightseeing-chongqing-magic-city-8d\manifest.json
WILL_UPDATE | CITY | v1.2.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\samscene3d-sightseeing-japan-city-osaka\manifest.json
WILL_UPDATE | CITY | v2.3.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\samscene3d-sightseeing-shanghai-city-times\manifest.json
WILL_UPDATE | CITY | v1.1.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\samscene3d-sightseeing-tokyo-city-times\manifest.json
WILL_UPDATE | ZBAD | v1.4.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\tms-airport-zbad-beijing-daxing\manifest.json
WILL_UPDATE | ZBAA | v1.2.2 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\wfscenerystudio-airport-zbaa-beijing-capital\manifest.json
WILL_UPDATE | ZGGG | v1.0.2 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\wfscenerystudio-airport-zggg-guangzhou-baiyun\manifest.json
WILL_UPDATE | ZSNJ | v1.0.1 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\wfscenerystudio-airport-zsnj-nanjing-lukou\manifest.json
WILL_UPDATE | ZSPD | v1.2.5 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\wfscenerystudio-airport-zspd-shanghai-pudong\manifest.json
NOOP        | ZSSS | v1.0.5 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\China\wfscenerystudio-airport-zsss-shanghai\manifest.json
NO_MATCH    | VHHH | v1.5.0 | E:\MFS2020&2024 Addons\Airports\Asia\Hong Kong\wfscenerystudio-airport-vhhh-hong-kong\manifest.json
NOOP        | VOCI | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\India\cascadiaapproach-airport-voci-cochin\manifest.json
NOOP        | VEBD | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\India\designindia-airport-vebd-bagdogra\manifest.json
NOOP        | FSDG | v1.2.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\India\fsdg-airport-vobl-kempegowda\manifest.json
WILL_UPDATE | VIJP | v1.0.1 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\India\skymatrix-airport-vijp-jaipur\manifest.json
WILL_UPDATE | VOBL | v1.0.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\India\tms-airport-vobl-kempegowda\manifest.json
NOOP        | VOBZ | v3.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\India\velocitystudios-airport-vobz-vijayawada\manifest.json
NOOP        | VOCL | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\India\velocitystudios-airport-vocl-kozhikode\manifest.json
NOOP        | WAWP | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\gudisim-airport-wawp-sangia-nibandera\manifest.json
NOOP        | WAWW | v1.3.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\gudisim-airport-waww-haluoleo\manifest.json
NOOP        | WICA | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\nusim-airport-wica-kertajati\manifest.json
NOOP        | WAAA | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\projectmax-airport-waaa-sultan-hasanuddin\manifest.json
NOOP        | WAMM | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\projectmax-airport-wamm-sam-ratulangi\manifest.json
NOOP        | WICC | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\projectmax-airport-wicc-husein-sastranegara\manifest.json
NOOP        | WARR | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\suroboyosim-airport-warr-juanda\manifest.json
NOOP        | OISL | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Iran\alkee-airport-oisl-larestan\manifest.json
NOOP        | OINR | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Iran\funofflying-airport-oinr-ramsar\manifest.json
NOOP        | ORBI | v1.1.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Iraq\azrsim-airport-orbi-baghdad\manifest.json
WILL_UPDATE | ORMM | v2.2.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Iraq\azrsim-airport-ormm-basrah\manifest.json
WILL_UPDATE | RJBE | v1.1.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\devinci-airport-rjbe-kobe\manifest.json
NOOP        | RJFM | v3.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\flyhigh-airport-rjfm-miyazaki\manifest.json
