=== Run started  2025-11-09T12:52:54 ===
NOOP        | WIII | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\binersim-airport-wiii-soekarno-hatta\manifest.json
WILL_MOVE   | WIII | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\binersim-airport-wiii-soekarno-hatta -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\binersim-airport-wiii-soekarno-hatta
NOOP        | WITT | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\binersim-airport-witt-sultan-iskandar\manifest.json
WILL_MOVE   | WITT | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\binersim-airport-witt-sultan-iskandar -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\binersim-airport-witt-sultan-iskandar
NO_MATCH    | WAFJ | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wafj-tampa-padang\manifest.json
NOOP        | WAHI | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wahi-yogyakarta\manifest.json
WILL_MOVE   | WAHI | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wahi-yogyakarta -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wahi-yogyakarta
NOOP        | WAMG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wamg-jalaluddin\manifest.json
WILL_MOVE   | WAMG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wamg-jalaluddin -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wamg-jalaluddin
NOOP        | WATB | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-watb-bajawa\manifest.json
WILL_MOVE   | WATB | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-watb-bajawa -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-watb-bajawa
NOOP        | WATG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-watg-frans-sales-lega\manifest.json
